


  Parameter Estimation, Reach #  1
  --------------------------------

   Dispersion      X-sect.      Storage       Storage  
     Coeff.         Area       Zone Area        Rate   
  5.20047E-01   4.80587E+01   1.43356E+01   1.68183E-04
  5.20148E-01   4.80587E+01   1.43356E+01   1.68183E-04
  5.20047E-01   4.80587E+01   1.43356E+01   1.68183E-04
  5.20047E-01   4.80587E+01   1.43357E+01   1.68183E-04
  5.20047E-01   4.80587E+01   1.43356E+01   1.68183E-04
  3.33578E-01   4.81523E+01   1.44334E+01   1.67558E-04
  3.33671E-01   4.81523E+01   1.44334E+01   1.67558E-04
  3.33578E-01   4.81523E+01   1.44334E+01   1.67558E-04
  3.33578E-01   4.81523E+01   1.44334E+01   1.67558E-04
  3.33578E-01   4.81523E+01   1.44334E+01   1.67559E-04
  5.13141E-01   4.81588E+01   1.43228E+01   1.65671E-04
  4.34191E-01   4.81521E+01   1.43767E+01   1.66580E-04
  4.34273E-01   4.81521E+01   1.43767E+01   1.66580E-04
  4.34191E-01   4.81521E+01   1.43767E+01   1.66580E-04
  4.34191E-01   4.81521E+01   1.43768E+01   1.66580E-04
  4.34191E-01   4.81521E+01   1.43767E+01   1.66581E-04
  4.10447E-01   4.81492E+01   1.43949E+01   1.66822E-04
  4.10533E-01   4.81492E+01   1.43949E+01   1.66822E-04
  4.10447E-01   4.81493E+01   1.43949E+01   1.66822E-04
  4.10447E-01   4.81492E+01   1.43949E+01   1.66822E-04
  4.10447E-01   4.81492E+01   1.43949E+01   1.66822E-04
  4.01942E-01   4.81516E+01   1.43998E+01   1.66837E-04
  4.02021E-01   4.81516E+01   1.43998E+01   1.66837E-04
  4.01942E-01   4.81516E+01   1.43998E+01   1.66837E-04
  4.01942E-01   4.81516E+01   1.43998E+01   1.66837E-04
  4.01942E-01   4.81516E+01   1.43998E+01   1.66838E-04
  4.02711E-01   4.81515E+01   1.43993E+01   1.66832E-04
  4.02794E-01   4.81515E+01   1.43993E+01   1.66832E-04
  4.02711E-01   4.81515E+01   1.43993E+01   1.66832E-04
