Device: Postscript
Disposition: To Device
FileorDev: otis
Titletext: Lith in Stream @ 1500 ft
XUnitText: time [hour]
YUnitText: Concentration [mg/l]
Ticks: On
Markers: On
Geometry: 1000x575

     11.250000 0.042000
     11.500000 0.011000
     11.750000 2.617000
     12.000000 2.500000
     12.250000 2.382000
     12.500000 2.289000
     12.750000 2.289000
     13.000000 2.312000
     13.250000 2.265000
     13.500000 2.289000
     13.750000 2.218000
     14.000000 2.148000
     14.250000 2.031000
     14.500000 2.171000
     14.750000 1.984000
     15.000000 2.054000
     15.250000 2.218000
     15.500000 0.511000
     15.750000 0.281000
     16.000000 0.254000
     16.250000 0.228000
     16.500000 0.188000
     16.750000 0.156000
     17.116667 0.112000
