Device: Postscript
Disposition: To Device
FileorDev: otis
Titletext: 1972 Uvas Cr Strontium, x=105m
XUnitText: time [hour]
YUnitText: Concentration [mg/l]
Ticks: On
Markers: On
Geometry: 1000x575

8.000000 0.157000
8.083333 0.157000
8.333333 0.141000
8.500000 0.155000
8.666667 0.160000
8.750000 0.164000
8.833333 0.164000
8.916667 0.158000
9.000000 0.173000
9.083333 0.238000
9.166667 0.416000
9.250000 0.648000
9.333333 0.827000
9.500000 1.182000
9.583333 1.271000
9.666667 1.335000
9.750000 1.364000
9.833333 1.396000
9.916667 1.416000
10.000000 1.411000
10.083333 1.423000
10.166667 1.436000
10.250000 1.472000
10.333333 1.456000
10.416667 1.456000
10.500000 1.458000
10.666667 1.483000
10.833333 1.487000
11.000000 1.494000
11.166667 1.485000
11.333333 1.483000
11.500000 1.490000
11.583333 1.501000
11.666667 1.501000
11.750000 1.505000
11.833333 1.505000
11.916667 1.481000
12.000000 1.463000
12.083333 1.409000
12.166667 1.196000
12.250000 0.987000
12.333333 0.777000
12.416667 0.671000
12.500000 0.530000
12.583333 0.453000
12.666667 0.387000
12.750000 0.350000
12.833333 0.323000
12.916667 0.293000
13.000000 0.287000
13.083333 0.276000
13.166667 0.257000
13.250000 0.251000
13.333333 0.249000
13.416667 0.244000
13.500000 0.236000
13.583333 0.232000
13.666667 0.228000
13.750000 0.226000
13.916667 0.223000
14.083333 0.223000
14.250000 0.209000
14.416667 0.198000
14.583333 0.209000
14.750000 0.198000
14.916667 0.185000
15.083333 0.188000
15.250000 0.190000
15.500000 0.192000
15.750000 0.188000
16.000000 0.196000
16.250000 0.171000
16.500000 0.169000
16.750000 0.173000
16.750000 0.173000
