Device: Postscript
Disposition: To Device
FileorDev: otis
Titletext: 1972 Uvas Cr Strontium, x=619m
XUnitText: time [hour]
YUnitText: Concentration [mg/l]
Ticks: On
Markers: On
Geometry: 1000x575

10.000000 0.135000
10.166667 0.132000
10.333333 0.126000
10.500000 0.130000
10.666667 0.148000
10.833333 0.139000
11.000000 0.135000
11.166667 0.137000
11.333333 0.130000
11.500000 0.132000
11.666667 0.130000
11.833333 0.143000
12.000000 0.139000
12.166667 0.135000
12.333333 0.132000
12.500000 0.130000
12.666667 0.128000
12.833333 0.126000
13.000000 0.130000
13.166667 0.132000
13.333333 0.140000
13.500000 0.148000
13.666667 0.152000
13.833333 0.163000
14.000000 0.168000
14.166667 0.181000
14.333333 0.185000
14.500000 0.200000
14.666667 0.216000
14.833333 0.218000
15.000000 0.229000
15.166667 0.242000
15.333333 0.247000
15.550000 0.282000
15.666667 0.273000
15.833333 0.282000
16.000000 0.286000
16.166667 0.275000
16.333333 0.286000
16.750000 0.269000
17.000000 0.288000
17.250000 0.269000
17.500000 0.266000
17.750000 0.275000
18.000000 0.251000
18.250000 0.253000
18.500000 0.238000
18.750000 0.231000
19.500000 0.229000
20.250000 0.209000
21.000000 0.207000
21.750000 0.207000
22.500000 0.194000
23.250000 0.192000
