Device: Postscript
Disposition: To Device
FileorDev: otis
Titletext: 1972 Uvas Strontium, x=38m
XUnitText: time [hour]
YUnitText: Concentration [mg/l]
Ticks: On
Markers: On
Geometry: 1000x575

8.016667 0.143000
8.500000 0.135000
8.533333 0.141000
8.566667 0.143000
8.600000 0.138000
8.633333 0.146000
8.666667 0.456000
8.700000 0.919000
8.766667 1.296000
8.800000 1.390000
8.833333 1.430000
8.866667 1.457000
8.900000 1.496000
8.933333 1.508000
8.966667 1.542000
9.000000 1.528000
9.033333 1.550000
9.066667 1.542000
9.100000 1.542000
9.133333 1.550000
9.166667 1.548000
9.233333 1.579000
9.300000 1.558000
9.366667 1.569000
9.433333 1.562000
9.500000 1.572000
9.566667 1.590000
9.633333 1.589000
9.700000 1.521000
9.766667 1.542000
9.833333 1.579000
10.000000 1.590000
10.166667 1.590000
10.333333 1.611000
10.500000 1.519000
10.666667 1.594000
10.833333 1.594000
11.000000 1.599000
11.166667 1.567000
11.333333 1.624000
11.500000 1.423000
11.533333 1.473000
11.566667 1.538000
11.600000 1.579000
11.633333 1.565000
11.666667 1.236000
11.700000 0.789000
11.733333 0.595000
11.766667 0.454000
11.800000 0.384000
11.833333 0.340000
11.866667 0.316000
11.900000 0.294000
11.933333 0.274000
11.966667 0.268000
12.000000 0.229000
12.033333 0.244000
12.066667 0.236000
12.100000 0.240000
12.133333 0.226000
12.166667 0.226000
12.233333 0.222000
12.300000 0.206000
12.366667 0.192000
12.433333 0.198000
12.500000 0.206000
12.566667 0.194000
12.633333 0.182000
12.700000 0.198000
12.766667 0.180000
12.833333 0.190000
13.000000 0.173000
13.166667 0.171000
13.333333 0.178000
13.500000 0.157000
13.666667 0.168000
13.833333 0.168000
14.000000 0.173000
14.166667 0.173000
14.333333 0.166000
15.166667 0.159000
15.683333 0.140000
16.166667 0.159000
16.683333 0.156000
17.166667 0.152000
17.683333 0.165000
18.683333 0.151000
19.683333 0.155000
20.683333 0.158000
21.683333 0.134000
