Device: Postscript
Disposition: To Device
FileorDev: otis
Titletext: 1972 Uvas Cr Strontium, x=281m
XUnitText: time [hour]
YUnitText: Concentration [mg/l]
Ticks: On
Markers: On
Geometry: 1000x575

7.800000 0.131000
8.333333 0.128000
8.500000 0.128000
8.666667 0.131000
8.833333 0.139000
9.000000 0.134000
9.166667 0.133000
9.333333 0.133000
9.500000 0.126000
9.666667 0.122000
9.833333 0.123000
10.000000 0.135000
10.166667 0.155000
10.333333 0.258000
10.500000 0.363000
10.666667 0.513000
10.833333 0.624000
11.000000 0.696000
11.166667 0.752000
11.333333 0.811000
11.500000 0.857000
11.666667 0.909000
11.833333 0.928000
12.000000 0.946000
12.166667 0.971000
12.333333 0.985000
12.500000 0.994000
12.666667 1.012000
12.833333 1.035000
13.000000 1.021000
13.166667 1.001000
13.333333 0.892000
13.500000 0.794000
13.666667 0.644000
13.833333 0.557000
14.000000 0.486000
14.166667 0.426000
14.333333 0.379000
14.500000 0.346000
14.666667 0.308000
14.833333 0.306000
15.000000 0.288000
15.166667 0.273000
15.333333 0.266000
15.500000 0.251000
15.666667 0.244000
15.833333 0.244000
16.000000 0.205000
16.166667 0.216000
16.333333 0.223000
16.500000 0.200000
16.666667 0.200000
16.833333 0.186000
17.000000 0.207000
17.366667 0.191000
17.866667 0.194000
18.366667 0.185000
19.366667 0.178000
20.366667 0.174000
21.366667 0.168000
22.366667 0.165000
23.366667 0.159000
