Device: Postscript
Disposition: To Device
FileorDev: otis
Titletext: Uvas Creek, S105 Cl
XUnitText: time [hour]
YUnitText: Concentration [mg/l]
Ticks: On
Markers: On
Geometry: 1000x575

7.766667 3.720000
8.000000 3.660000
8.083333 3.630000
8.333333 3.720000
8.500000 3.650000
8.666667 3.650000
8.750000 3.790000
8.833333 3.910000
8.916667 3.750000
9.000000 3.750000
9.083333 4.160000
9.166667 5.490000
9.250000 7.150000
9.333333 8.210000
9.416667 9.390000
9.500000 10.200000
9.583333 10.570000
9.666667 10.870000
9.750000 11.030000
9.833333 11.220000
9.916667 11.220000
10.000000 11.260000
10.083333 11.220000
10.166667 11.180000
10.250000 11.280000
10.333333 11.230000
10.416667 11.240000
10.500000 11.400000
10.666667 11.400000
10.833333 11.380000
11.000000 11.380000
11.166667 11.480000
11.333333 11.510000
11.500000 11.400000
11.583333 11.510000
11.666667 11.440000
11.750000 11.400000
11.833333 11.340000
11.916667 11.160000
12.000000 10.950000
12.083333 10.450000
12.166667 8.970000
12.250000 7.680000
12.333333 6.310000
12.416667 5.660000
12.500000 4.890000
12.583333 4.530000
12.666667 4.240000
12.750000 4.100000
12.833333 3.940000
12.916667 3.840000
13.000000 3.810000
13.083333 3.790000
13.166667 3.750000
13.250000 3.750000
13.333333 3.780000
13.416667 3.740000
13.500000 3.740000
13.583333 3.770000
13.666667 3.720000
13.750000 3.720000
13.916667 3.750000
14.083333 3.710000
14.250000 3.710000
14.416667 3.720000
14.583333 3.730000
14.750000 3.680000
14.916667 3.700000
15.083333 3.760000
15.250000 3.700000
15.500000 3.700000
15.750000 3.680000
16.000000 3.680000
16.250000 3.750000
16.500000 3.690000
16.750000 3.660000
17.000000 3.710000
17.500000 3.790000
18.066667 3.720000
19.066667 3.720000
20.066667 3.700000
21.066667 3.710000
22.066667 3.710000
23.066667 3.770000
