Device: Postscript
Disposition: To Device
FileorDev: otis
Titletext: Uvas Creek, S281 Cl
XUnitText: time [hour]
YUnitText: Concentration [mg/l]
Ticks: On
Markers: On
Geometry: 1000x575

7.800000 3.690000
8.333333 3.670000
8.500000 3.710000
8.666667 3.770000
8.833333 3.700000
9.000000 3.730000
9.166667 3.650000
9.333333 3.650000
9.500000 3.730000
9.666667 3.680000
9.833333 3.700000
10.000000 3.830000
10.166667 4.150000
10.333333 5.360000
10.500000 6.750000
10.666667 8.030000
10.833333 8.710000
11.000000 9.180000
11.166667 9.490000
11.333333 9.640000
11.500000 9.740000
11.666667 9.940000
11.833333 9.910000
12.000000 9.910000
12.166667 9.950000
12.333333 9.940000
12.500000 9.940000
12.666667 9.910000
12.833333 9.960000
13.000000 9.810000
13.166667 9.360000
13.333333 8.290000
13.500000 7.020000
13.666667 5.810000
13.833333 5.060000
14.000000 4.610000
14.166667 4.330000
14.333333 4.150000
14.500000 4.070000
14.666667 4.000000
14.833333 3.920000
15.000000 3.920000
15.166667 3.900000
15.333333 3.880000
15.500000 3.890000
15.666667 3.850000
15.833333 3.830000
16.000000 3.910000
16.166667 3.860000
16.333333 3.860000
16.500000 3.860000
16.666667 3.910000
16.833333 3.880000
17.000000 3.870000
17.366667 3.800000
17.866667 3.820000
18.366667 3.750000
19.366667 3.730000
20.366667 3.730000
21.366667 3.750000
22.366667 3.730000
23.366667 3.720000
24.366667 3.830000
25.366667 4.000000
26.366667 4.000000
27.366667 4.060000
28.366667 4.220000
29.366667 4.140000
30.366667 4.200000
31.366667 4.290000
32.366667 4.240000
33.366667 4.310000
34.366667 4.330000
35.366667 4.220000
36.366667 4.240000
37.366667 4.240000
38.366667 4.200000
