


  Parameter Estimation, Reach #  1
  --------------------------------

   Dispersion      X-sect.      Storage       Storage  
     Coeff.         Area       Zone Area        Rate   
  ------------------------------------------------------------
  1.50204E+00   5.03004E+01   2.41789E+00   6.93935E-05
  6.67124E-01   5.02141E+01   2.04080E+01   5.60874E-05
  6.67103E-01   5.02141E+01   2.04080E+01   5.60874E-05
  6.67103E-01   5.02141E+01   2.04081E+01   5.60874E-05
  6.67103E-01   5.02141E+01   2.04080E+01   5.60877E-05
  9.63456E-01   5.06186E+01   1.03763E+01   7.22988E-05
  9.63479E-01   5.06186E+01   1.03763E+01   7.22988E-05
  9.63456E-01   5.06187E+01   1.03763E+01   7.22988E-05
  9.63456E-01   5.06186E+01   1.03764E+01   7.22988E-05
  9.63456E-01   5.06186E+01   1.03763E+01   7.22992E-05
  1.73866E+00   5.02315E+01   1.31413E+01   9.58814E-05
  1.73870E+00   5.02315E+01   1.31413E+01   9.58814E-05
  1.73866E+00   5.02316E+01   1.31413E+01   9.58814E-05
  1.73866E+00   5.02315E+01   1.31413E+01   9.58814E-05
  1.73866E+00   5.02315E+01   1.31413E+01   9.58819E-05
  1.73866E+00   5.02315E+01   1.31413E+01   9.58814E-05
  1.73870E+00   5.02315E+01   1.31413E+01   9.58814E-05
  1.73866E+00   5.02316E+01   1.31413E+01   9.58814E-05
  1.73866E+00   5.02315E+01   1.31413E+01   9.58814E-05
  1.73866E+00   5.02315E+01   1.31413E+01   9.58819E-05


  Estimated Parameters, Reach #  2
  --------------------------------

   Dispersion      X-sect.      Storage       Storage  
     Coeff.         Area       Zone Area        Rate   
  ------------------------------------------------------------
  1.73866E+00   5.02315E+01   1.31413E+01   9.58814E-05
